Image	human_evaluation
#9 How to perform oral suctioning_frame_0.jpg	No Suctioning
#9 How to perform oral suctioning_frame_1.jpg	No Suctioning
#9 How to perform oral suctioning_frame_10.jpg	No Suctioning
#9 How to perform oral suctioning_frame_11.jpg	No Suctioning
#9 How to perform oral suctioning_frame_12.jpg	No Suctioning
#9 How to perform oral suctioning_frame_13.jpg	No Suctioning
#9 How to perform oral suctioning_frame_14.jpg	No Suctioning
#9 How to perform oral suctioning_frame_15.jpg	No Suctioning
#9 How to perform oral suctioning_frame_16.jpg	No Suctioning
#9 How to perform oral suctioning_frame_17.jpg	No Suctioning
#9 How to perform oral suctioning_frame_18.jpg	No Suctioning
#9 How to perform oral suctioning_frame_19.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_2.jpg	No Suctioning
#9 How to perform oral suctioning_frame_20.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_21.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_22.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_23.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_24.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_25.jpg	No Suctioning
#9 How to perform oral suctioning_frame_26.jpg	No Suctioning
#9 How to perform oral suctioning_frame_27.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_28.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_29.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_3.jpg	No Suctioning
#9 How to perform oral suctioning_frame_30.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_31.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_32.jpg	No Suctioning
#9 How to perform oral suctioning_frame_33.jpg	No Suctioning
#9 How to perform oral suctioning_frame_34.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_35.jpg	No Suctioning
#9 How to perform oral suctioning_frame_36.jpg	No Suctioning
#9 How to perform oral suctioning_frame_37.jpg	No Suctioning
#9 How to perform oral suctioning_frame_38.jpg	No Suctioning
#9 How to perform oral suctioning_frame_39.jpg	No Suctioning
#9 How to perform oral suctioning_frame_4.jpg	No Suctioning
#9 How to perform oral suctioning_frame_40.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_41.jpg	No Suctioning
#9 How to perform oral suctioning_frame_42.jpg	No Suctioning
#9 How to perform oral suctioning_frame_43.jpg	No Suctioning
#9 How to perform oral suctioning_frame_44.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_45.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_46.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_47.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_48.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_49.jpg	Oral Suctioning
